park,type,name_ja,official_url,mobile_order,priority_seating,verified_on
東京ディズニーシー,レストラン,レストラン櫻,https://www.tokyodisneyresort.jp/tds/restaurant/detail/432/,false,true,2026-08-03
東京ディズニーシー,レストラン,ロストリバークックハウス,https://www.tokyodisneyresort.jp/tds/restaurant/detail/461/,false,false,2026-08-03
東京ディズニーシー,レストラン,ヴォルケイニア・レストラン,https://www.tokyodisneyresort.jp/tds/restaurant/detail/418/,false,false,2026-08-03
東京ディズニーランド,アトラクション,アリスのティーパーティー,https://www.tokyodisneyresort.jp/tdl/attraction/detail/173/,false,false,2026-08-03
東京ディズニーランド,アトラクション,イッツ・ア・スモールワールド,https://www.tokyodisneyresort.jp/tdl/attraction/detail/172/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ウエスタンランド・シューティングギャラリー,https://www.tokyodisneyresort.jp/tdl/attraction/detail/157/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ウエスタンリバー鉄道,https://www.tokyodisneyresort.jp/tdl/attraction/detail/154/,false,false,2026-08-03
東京ディズニーランド,アトラクション,オムニバス,https://www.tokyodisneyresort.jp/tdl/attraction/detail/151/,false,false,2026-08-03
東京ディズニーランド,アトラクション,カリブの海賊,https://www.tokyodisneyresort.jp/tdl/attraction/detail/152/,false,false,2026-08-03
東京ディズニーランド,アトラクション,カントリーベア・シアター,https://www.tokyodisneyresort.jp/tdl/attraction/detail/158/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ガジェットのゴーコースター,https://www.tokyodisneyresort.jp/tdl/attraction/detail/179/,false,false,2026-08-03
東京ディズニーランド,アトラクション,キャッスルカルーセル,https://www.tokyodisneyresort.jp/tdl/attraction/detail/170/,false,false,2026-08-03
東京ディズニーランド,アトラクション,グーフィーのペイント＆プレイハウス,https://www.tokyodisneyresort.jp/tdl/attraction/detail/181/,false,false,2026-08-03
東京ディズニーランド,アトラクション,シンデレラのフェアリーテイル・ホール,https://www.tokyodisneyresort.jp/tdl/attraction/detail/166/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ジャングルクルーズ：ワイルドライフ・エクスペディション,https://www.tokyodisneyresort.jp/tdl/attraction/detail/153/,false,false,2026-08-03
東京ディズニーランド,アトラクション,スイスファミリー・ツリーハウス,https://www.tokyodisneyresort.jp/tdl/attraction/detail/155/,false,false,2026-08-03
東京ディズニーランド,アトラクション,スター・ツアーズ：ザ・アドベンチャーズ・コンティニュー,https://www.tokyodisneyresort.jp/tdl/attraction/detail/183/,false,false,2026-08-03
東京ディズニーランド,アトラクション,スティッチ・エンカウンター,https://www.tokyodisneyresort.jp/tdl/attraction/detail/195/,false,false,2026-08-03
東京ディズニーランド,アトラクション,スプラッシュ・マウンテン,https://www.tokyodisneyresort.jp/tdl/attraction/detail/162/,false,false,2026-08-03
東京ディズニーランド,アトラクション,チップとデールのツリーハウス,https://www.tokyodisneyresort.jp/tdl/attraction/detail/178/,false,false,2026-08-03
東京ディズニーランド,アトラクション,トゥーンパーク,https://www.tokyodisneyresort.jp/tdl/attraction/detail/194/,false,false,2026-08-03
東京ディズニーランド,アトラクション,トムソーヤ島いかだ,https://www.tokyodisneyresort.jp/tdl/attraction/detail/161/,false,false,2026-08-03
東京ディズニーランド,アトラクション,ドナルドのボート,https://www.tokyodisneyresort.jp/tdl/attraction/detail/180/,false,false,2026-08-03
